Team Member,words,skill,"category (hard,soft,tool)",n
sb,community,,,3778
sb,analyst,,,3764
sb,present,,,3739
sb,social,,,3737
sb,range,,,3735
sb,find,,,3730
sb,applicable,,,3711
sb,contribute,,,3694
sb,architecture,,,3692
sb,computing,,,3690
sb,creative,creative,soft,3690
sb,functional,,,3668
sb,conduct,,,3666
sb,web,,,3662
sb,initiatives,,,3660
sb,google,,,3654
sb,infrastructure,,,3653
sb,unstructured,,,3641
sb,offer,,,3636
sb,track,,,3631
sb,requires,,,3630
sb,metrics,,,3626
sb,today,,,3619
sb,leader,,,3613
sb,different,,,3605
sb,set,,,3602
sb,local,,,3596
sb,policy,,,3596
sb,bring,,,3589
sb,center,,,3587
sb,specific,,,3575
sb,want,,,3557
sb,regression,regressionanalysis,hard,3554
sb,outcomes,,,3548
sb,resources,,,3535
sb,tasks,,,3500
sb,similar,,,3492
sb,collaboration,,,3486
sb,core,,,3485
sb,together,,,3474
sb,member,,,3472
sb,managers,,,3447
sb,physical,,,3446
sb,consulting,,,3435
sb,subject,,,3433
sb,area,,,3431
sb,artificial,,,3426
sb,structured,,,3425
sb,users,,,3412
sb,essential,,,3409
sb,basis,,,3402
sb,online,,,3401
sb,biology,,,3400
sb,standards,,,3399
sb,delivering,,,3397
sb,get,,,3397
sb,discipline,,,3389
sb,experiments,,,3376
sb,human,,,3356
sb,clearance,,,3353
sb,experienced,,,3351
sb,leaders,,,3351
sb,economics,,,3344
sb,enable,,,3338
sb,states,,,3334
sb,efforts,,,3293
sb,primary,,,3289
sb,supporting,,,3288
sb,documentation,documentation,soft,3282
sb,united,,,3279
sb,distributed,,,3271
sb,focused,,,3250
sb,implementing,,,3250
sb,managing,datamanagement,hard,3246
sb,designing,,,3245
sb,experiences,,,3245
sb,achieve,,,3230
sb,unique,,,3230
sb,define,,,3214
sb,compliance,,,3203
sb,order,,,3203
sb,helping,,,3198
sb,real,,,3195
sb,marital,,,3194
sb,limited,,,3193
sb,control,,,3188
sb,small,,,3187
sb,driven,,,3186
sb,pipelines,,,3186
sb,analysts,,,3185
sb,levels,,,3184
sb,type,,,3180
sb,university,,,3174
sb,next,,,3167
sb,government,,,3165
sb,drug,,,3163
sb,presentation,,,3161
sb,datadriven,,,3140
sb,potential,,,3134
sb,mathematical,,,3122
sb,diversity,,,3108
sb,evaluate,,,3102
sb,integration,,,3094
sb,master,,,3086
sb,passionate,,,3071
sb,excel,,,3063
sb,execution,,,3059
sb,assigned,,,3051
sb,top,,,3050
sb,sciences,,,3045
sb,crossfunctional,,,3044
sb,agile,,,3036
sb,necessary,,,3033
sb,wide,,,3030
sb,networks,,,3026
sb,fastpaced,,,3023
sb,studies,,,3023
sb,participate,,,3018
sb,discovery,,,3017
sb,dynamic,,,3014
sb,presentations,,,3012
sb,ways,,,3012
sb,desired,,,3005
sb,solution,,,2995
sb,genetic,,,2992
sb,includes,,,2992
sb,amazon,,,2986
sb,works,,,2978
sb,collection,,,2976
sb,execute,,,2975
sb,professionals,,,2974
sb,source,,,2971
sb,finance,,,2965
sb,approach,,,2962
sb,general,,,2959
sb,computational,,,2958
ic,serve,,,2953
ic,study,,,2946
ic,organizations,,,2939
ic,improvement,processimprovement,soft,2926
ic,san,,,2913
ic,grow,,,2909
ic,directly,,,2894
ic,safety,,,2892
ic,experts,,,2880
ic,manner,,,2879
ic,leverage,,,2868
ic,performing,,,2867
ic,read,readdata,hard,2850
ic,expression,,,2849
ic,thinking,criticalthinking,soft,2849
ic,frameworks,,,2847
ic,manufacturing,,,2847
ic,detail,attentiontodetail,soft,2842
ic,scalable,,,2842
ic,content,contentpublishing,hard,2839
,,contentdevelopment,hard,
ic,media,multimedia,hard,2816
ic,objectives,,,2799
ic,know,,,2798
ic,considered,,,2793
ic,organizational,,,2791
ic,azure,azure,tool,2775
ic,ideal,,,2774
ic,bachelor,,,2772
ic,environments,softwareenvironments,tool,2768
ic,patterns,findingpatterns,hard,2760
ic,consumer,consumerrelations,soft,2750
,,consumermanagement,soft,
ic,direct,,,2745
ic,search,searchengine,tool,2734
ic,citizenship,,,2728
ic,documents,,,2728
ic,personal,,,2727
ic,physics,,,2722
ic,hiring,,,2693
ic,develops,,,2690
ic,commercial,,,2689
ic,address,,,2681
ic,end,,,2679
ic,interpersonal,interpersonal,soft,2669
ic,optimize,,,2658
ic,manager,,,2655
ic,inc,,,2652
ic,industries,,,2643
ic,leveraging,,,2640
ic,resume,,,2634
ic,email,,,2628
ic,matter,,,2628
ic,generation,,,2625
ic,scala,,,2610
ic,contact,,,2599
ic,largest,,,2592
ic,paid,,,2591
ic,youâ,,,2582
ic,hive,,,2578
ic,audiences,multipleaudiences,soft,2574
,,differentaudiences,soft,
ic,complete,,,2574
ic,comprehensive,,,2572
ic,assistance,,,2566
ic,quickly,,,2560
ic,accommodation,,,2538
ic,firm,,,2536
ic,businesses,,,2534
ic,clear,,,2530
ic,transform,datatransformation,hard,2530
,,datatransform,hard,
ic,offers,,,2529
ic,eligibility,,,2523
ic,translate,,,2521
ic,report,reportwriting,hard,2518
,,reportdevelopment,hard,
ic,evaluation,,,2516
ic,talent,,,2513
ic,validation,datavalidation,hard,2510
ic,regulatory,regulatoryenvironment,hard,2505
ic,flexible,,,2500
ic,scripting,scripting,tool,2493
ic,broad,,,2490
ic,cell,,,2477
ic,oral,,,2476
ic,salary,,,2456
ic,academic,,,2446
ic,comfortable,,,2439
ic,document,,,2439
ic,math,,,2434
ic,two,,,2432
ic,nlp,,,2429
ic,reasonable,,,2423
ic,coding,,,2422
ic,automation,automation,hard,2421
ic,fields,,,2414
ic,features,,,2410
ic,hours,,,2406
ic,neural,neuralnetwork,hard,2400
ic,exciting,,,2393
ic,visualizations,visualization,hard,2393
ic,believe,,,2385
ic,space,,,2384
ic,attention,,,2382
ic,date,,,2376
ic,relational,relationaldatabase,tool,2374
ic,package,,,2372
ic,nontechnical,,,2369
ic,proud,,,2368
ic,come,,,2358
ic,integrity,dataintegrity,hard,2353
,,personalintegrity,soft,
ic,novel,,,2339
ic,energy,highenergy,soft,2335
ic,excellence,dataexcellence,hard,2329
ic,generate,,,2327
ic,compensation,,,2317
ic,identifying,indentifyingerror,hard,2313
ic,share,,,2311
ic,significant,,,2311
ic,forecasting,forecasting,hard,2309
ic,solid,,,2307
ic,first,,,2304
ic,guidance,,,2304
ic,place,,,2301
ic,meaningful,,,2300
ic,equipment,,,2289
ic,classification,,,2286
ic,cancer,,,2283
ic,dental,,,2281
ic,principles,,,2280
ic,patient,,,2279
ic,tensorflow,tensorflow,tool,2278
ic,posted,,,2275
ic,currently,,,2271
ic,require,,,2267
ic,proficient,,,2265
ic,family,,,2255
ic,deployment,softwaredeployment,hard,2246
ic,reference,,,2246
ic,values,,,2240
ic,extensive,,,2238
ic,lives,,,2235
ic,domain,,,2233
ic,groups,,,2229
ic,locations,,,2229
ic,agency,,,2228
ic,visit,,,2227
ic,talented,,,2224
ic,person,,,2220
ic,just,,,2219
ic,hire,,,2208
ic,things,,,2207
ic,throughout,,,2207
ic,many,,,2206
ic,detection,errordetection,hard,2190
ic,abilities,,,2184
ic,fulltime,,,2179
ic,portfolio,,,2179
ic,fast,,,2176
ic,etl,,,2175
ic,interpret,,,2175
ic,packages,rpackages,tool,2160
ic,prior,,,2160
ic,driving,,,2159
ic,monitoring,,,2159
ic,upon,,,2159
ic,lab,,,2157
ic,addition,,,2151
ic,determine,,,2149
ic,site,,,2145
ic,major,,,2139
ic,act,,,2135
ic,standard,,,2126
ic,supply,,,2125
ic,weâ,,,2123
ic,love,,,2120
ic,pay,,,2117
ic,write,writecode,hard,2110
ic,conditions,,,2103
ic,motivated,,,2094
ic,characteristic,,,2089
ic,behavior,predictbehavior,hard,2087
ic,patients,,,2087
ic,influence,influenceothers,soft,2086
ic,dedicated,,,2082
ic,interest,,,2068
ic,possible,,,2068
ic,automated,,,2058
ic,corporate,,,2055
ic,maintaining,maintainingdatbase,hard,2050
ic,eeo,,,2049
ic,demonstrate,,,2040
ic,clustering,clustering,hard,2039
ic,continuous,,,2037
ic,utilizing,,,2037
ic,experimental,,,2035
ic,dashboards,dashboards,hard,2033
ic,text,,,2033
ic,millions,,,2031
ic,agencies,,,2028
ic,maintenance,,,2027
ic,ibm,ibm,tool,2025
ic,efficient,,,2019
ic,policies,writepolicies,hard,2007
ic,tech,techsupport,soft,2005
ic,transformation,,,2004
ic,depth,,,2001
ic,prepare,preparedata,hard,2001
ic,york,,,2000
ic,mobile,,,1999
ic,start,,,1997
ic,via,,,1994
ic,investment,,,1984
ic,practice,,,1984
ic,workplace,,,1983
ic,direction,,,1982
ic,operating,,,1978
ic,communicating,,,1971
ic,meetings,,,1970
ic,laws,,,1965
ic,challenging,,,1964
ic,important,,,1963
ic,responsibility,,,1959
ic,accuracy,,,1955
ic,communications,,,1950
ic,contract,contractmanagement,hard,1949
ic,colleagues,,,1944
ic,enhance,,,1938
ic,disabilities,,,1937
ic,priorities,,,1923
ic,rapidly,,,1920
ic,affirmative,,,1919
ic,expected,,,1915
ic,interact,,,1914
ic,consistent,,,1912
ic,insight,,,1911
ic,problemsolving,problemsolving,soft,1910
ic,environmental,,,1901
ic,now,,,1901
ic,chain,blockchain,hard,1897
ic,practical,,,1895
ic,consider,,,1888
ic,common,,,1886
ic,form,,,1886
ic,efficiency,,,1885
ic,monitor,,,1882
ic,combination,,,1877
ic,interested,,,1873
pf,validate,datavalidation,hard,1872
pf,setting,,,1870
pf,regular,regularexpression,hard,1868
pf,matlab,,,1864
pf,series,,,1861
pf,deploy,deployment,tool,1860
pf,international,,,1859
pf,ongoing,,,1857
pf,exceptional,,,1850
pf,materials,,,1846
pf,edge,edgecomputing,hard,1844
pf,establish,,,1844
pf,revenue,,,1843
pf,developers,softwaredevelopment,hard,1841
pf,goal,,,1839
pf,see,,,1837
pf,regarding,,,1835
pf,veterans,,,1832
pf,changing,,,1831
pf,advance,,,1828
pf,extract,,,1826
pf,integrate,,,1826
pf,molecular,,,1822
pf,engagement,,,1820
pf,improvements,,,1812
pf,positions,,,1805
pf,discover,,,1801
pf,click,,,1798
pf,produce,,,1791
pf,improving,,,1789
pf,positive,,,1789
pf,feature,,,1787
pf,think,,,1785
pf,largescale,,,1781
pf,overall,,,1779
pf,utilize,,,1772
pf,changes,,,1770
pf,modern,,,1767
pf,schedule,,,1763
pf,commitment,,,1758
pf,skill,,,1758
pf,workforce,,,1753
pf,home,,,1749
pf,performs,,,1748
pf,tests,,,1747
pf,thought,,,1746
pf,independent,,soft,1744
pf,explore,,,1742
pf,simulation,,tool,1740
pf,live,,,1738
pf,along,,,1736
pf,guide,,,1732
pf,robust,,,1729
pf,credit,,,1725
pf,emerging,,,1725
pf,days,,,1724
pf,forward,,,1723
pf,desire,desiretolearnnewtechnology,soft,1719
pf,latest,,,1719
pf,junior,,,1718
pf,recruiting,,,1718
pf,successfully,,,1714
pf,active,,,1712
pf,challenge,,,1709
pf,designs,,,1708
pf,built,,,1706
pf,markets,,,1703
pf,view,,,1697
pf,supports,,,1693
pf,leads,,,1690
pf,retail,,,1690
pf,aspects,,,1689
pf,director,,,1685
pf,request,,,1685
pf,pipeline,,,1678
pf,principal,,,1678
pf,structures,datastructure,hard,1677
pf,clearly,,,1675
pf,francisco,,,1670
pf,industrial,,,1667
pf,communities,,,1663
pf,deliverables,,,1661
pf,purpose,,,1661
pf,military,,,1659
pf,line,,,1657
pf,higher,,,1652
pf,requests,,,1652
pf,events,,,1649
pf,offices,,,1649
pf,thrive,,,1649
pf,audience,,,1644
pf,medicine,,,1644
pf,multidisciplinary,,,1644
pf,mentor,,,1639
pf,nosql,,,1638
pf,assess,,,1634
pf,city,,,1634
pf,recruitment,,,1634
pf,executive,,,1633
pf,advertising,,,1632
pf,overview,,,1626
pf,class,,,1625
pf,acquisition,dataacquisition,hard,1622
pf,supervision,,,1622
pf,made,,,1620
pf,possess,,,1619
pf,timely,,,1619
pf,selection,,,1615
pf,enjoy,,,1614
pf,three,,,1612
pf,function,,,1609
pf,disciplines,,,1607
pf,disease,,,1601
pf,number,,,1591
pf,conducting,,,1579
pf,hardware,,,1578
pf,libraries,,hard,1574
pf,north,,,1574
pf,creation,,,1571
pf,america,,,1570
pf,researchers,,,1567
pf,preferably,,,1561
pf,cases,,,1558
pf,prioritize,,,1555
pf,located,,,1549
pf,countries,,,1543
pf,ancestry,,,1542
pf,preparation,,,1542
pf,realworld,,,1539
pf,oracle,oracledatabase,hard,1538
pf,cost,,,1536
pf,criminal,,,1533
pf,previous,,,1530
pf,benefit,,,1528
pf,million,,,1528
pf,statement,,,1527
pf,discriminate,,,1526
pf,amounts,,,1524
pf,unit,,,1520
pf,inform,,,1519
pf,college,,,1517
pf,options,,,1517
pf,accredited,,,1513
pf,brands,,,1512
pf,scope,,,1506
pf,presenting,,,1503
pf,ecommerce,,,1500
pf,queries,,,1499
pf,worlds,,,1492
pf,chemistry,,,1489
pf,cuttingedge,,,1488
pf,daily,,,1484
pf,effectiveness,,,1482
pf,applicant,,,1481
pf,regulations,,,1480
pf,keep,,,1477
pf,exposure,,,1476
pf,algorithm,,hard,1475
pf,protocols,,,1471
pf,someone,,,1471
pf,creativity,,,1468
pf,inclusive,,,1466
pf,jobs,,,1461
pf,investigation,,,1459
pf,associated,,,1455
pf,realtime,,,1454
pf,whether,,,1454
pf,feedback,,,1453
pf,engage,,,1450
pf,records,,,1450
pf,collect,,,1449
pf,check,,,1448
pf,special,,,1447
pf,uses,,,1447
pf,answer,,,1446
pf,types,,,1446
pf,ensuring,,,1444
pf,obtain,,,1444
pf,pregnancy,,,1443
pf,word,,,1440
pf,worldwide,,,1436
pf,reviews,,,1430
pf,storage,,,1430
pf,stateart,,,1429
pf,base,,,1424
pf,integrated,,,1423
pf,connect,,,1421
pf,initiative,,,1420
pf,fun,,,1419
pf,coordinate,,,1418
pf,measurement,,,1416
pf,saying,,,1416
pf,school,,,1416
pf,backgrounds,,,1415
pf,difference,,,1414
pf,opportunityaffirmative,,,1414
pf,remote,,,1409
pf,become,,,1404
pf,methodology,,,1404
pf,demand,,,1403
pf,fortune,,,1402
pf,provider,,,1401
pf,video,,,1396
pf,recognized,,,1393
pf,follow,,,1389
pf,fraud,,,1389
pf,linear,,,1386
pf,helps,,,1384
pf,details,,,1382
pf,endend,,,1382
pf,legal,,,1382
pf,maintains,,,1382
pf,per,,,1382
pf,verification,,,1380
pf,components,,,1379
pf,collaborating,,,1378
pf,deadlines,,,1376
pf,outstanding,,,1375
pf,resource,,,1374
pf,note,,,1370
pf,exploratory,exploratorydataanalysis,hard,1369
pf,recognition,,,1369
pf,associate,,,1367
pf,graduate,,,1367
pf,biological,,,1365
pf,warehouse,datawarehouse,hard,1362
pf,curiosity,curious,soft,1361
pf,chance,,,1358
pf,increase,,,1356
pf,deploying,,,1353
pf,beyond,,,1352
pf,play,,,1350
pf,clean,,,1346
pf,player,,,1344
pf,server,,,1344
pf,established,,,1341
pf,kpmg,,,1341
pf,bioinformatics,,,1340
pf,cutting,,,1338
pf,completion,,,1337
pf,history,,,1337
pf,lifecycle,,,1337
pf,foundation,,,1332
pf,reach,,,1331
jt,linux,,tool,
jt,collaboratively,collaboration,soft,1270
jt,query,data query,hard,1270
jt,decisionmaking,decision making,soft,1268
jt,trees,trees,tool,1262
jt,scikitlearn,scikitlearn,tool,1261
jt,architectures,architectures,hard,1229
jt,stack,full-stack,hard,1229
jt,transforming,data transformation,hard,1194
jt,framework,framework,tool,1190
jt,pandas,pandas,tool,1174
jt,supervised,supervised learning,hard,1160
jt,proactively,proactive,soft,1155
jt,apache,apache,tool,1109
jt,unsupervised,unsupervised learning,hard,1085
jt,entrepreneurial,entrepreneurial,soft,1083
jt,genetics,genetics,hard,1080
jt,powerpoint,powerpoint,tool,1078
jt,javascript,javascript,hard,1057
jt,manipulate,manipulate data,hard,1054
jt,innovate,innovative,soft,1035
jt,selfstarter,selfstarter,soft,1033
jt,kafka,kafka,tool,1025
jt,git,git,tool,1009
jt,spss,spss,tool,1003
